unique_id,race,race_imputed,imputation_probability,date,city,state,zip,county,agencies,highest_force,armed,weapon,aggressive,fleeing,intended_use_of_force,GEOID
17913,African-American/Black,African-American/Black,,2016-07-11,East St Louis,IL,62201,St. Clair,"Washington Park Police Department, East St. Louis Police Department",Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,17163500900
17914,African-American/Black,African-American/Black,,2016-07-11,Brooklyn,NY,11214,Kings,City of New York Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,36047040400
17904,African-American/Black,African-American/Black,,2016-07-09,Lakeshire,MO,63123,St. Louis,St. Louis County Police Department,Gunshot,Unarmed,None,Advanced toward officer(s),Not fleeing,Deadly force,29189220701
17905,African-American/Black,African-American/Black,,2016-07-09,Broken Bow,OK,74728,McCurtain,"Broken Bow Police Department, McCurtain County Sheriff's Office, Choctaw Nation Tribal Police Department",Gunshot,Armed,Firearm/Gun,Used weapon,Fleeing/Vehicle,Deadly force,40089098600
17906,African-American/Black,African-American/Black,,2016-07-09,Houston,TX,77021,Harris,Houston Police Department,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,48201313600
17903,European-American/White,European-American/White,,2016-07-08,Tucson,AZ,85705,Pima,Tucson Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,04019001302
17896,African-American/Black,African-American/Black,,2016-07-07,Selma,AL,36701,Dallas,Selma Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,01047956600
17897,European-American/White,European-American/White,,2016-07-07,Clovis,CA,93612,Fresno,Clovis Police Department,Gunshot,Unarmed,None,None/Police alleged vehicular assault,Fleeing/Vehicle,Deadly force,06019005606
17898,Hispanic/Latino,Hispanic/Latino,,2016-07-07,Bell,CA,90201,Los Angeles,Bell Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,06037533803
17902,European-American/White,European-American/White,,2016-07-07,Cordova,TN,38018,Shelby,Shelby County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Uncertain,Deadly force,47157021138
17891,African-American/Black,African-American/Black,,2016-07-06,Falcon Heights,MN,55113,Ramsey,St. Anthony Police Department,Gunshot,Armed,Firearm/Handgun,Uncertain,Not fleeing,Deadly force,27123041900
17892,Hispanic/Latino,Hispanic/Latino,,2016-07-06,Covina,CA,91722,Los Angeles,Los Angeles Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,06037405702
17893,European-American/White,European-American/White,,2016-07-06,Rush Springs,OK,73082,Grady,Rush Springs Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,40051000701
17894,African-American/Black,African-American/Black,,2016-07-06,Raymond,MS,39154,Hinds,U.S. Marshals Service,Gunshot,Armed,Firearm/Shotgun,Used weapon,Not fleeing,Deadly force,28049010807
17886,African-American/Black,African-American/Black,,2016-07-05,Baton Rouge,LA,70806,East Baton Rouge,Baton Rouge Police Department,Gunshot,Armed,Firearm/Handgun,Struggled,Not fleeing,Deadly force,22033001103
17887,European-American/White,European-American/White,,2016-07-05,Temecula,CA,92591,Riverside,Temecula Police Department,Gunshot,Uncertain,Uncertain,Uncertain,Fleeing/Vehicle,Deadly force,06065043216
17888,European-American/White,European-American/White,,2016-07-05,Yuma,AZ,85364,Yuma,Yuma County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,04027000402
17889,European-American/White,European-American/White,,2016-07-05,Salem,OR,97304,Polk,Polk County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Sudden threatening movement,Not fleeing,Deadly force,41053005204
17890,Race unspecified,European-American/White,0.493307959,2016-07-05,Hiram,GA,30127,Cobb,Paulding County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Self-inflicted injury,Not fleeing,Deadly force,13223120603
17885,African-American/Black,African-American/Black,,2016-07-04,Scurry,TX,75158,Kaufman,Kaufman County Sheriff's Office,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,48257051202
17879,European-American/White,European-American/White,,2016-07-04,North Charleston,SC,29406,Charleston,North Charleston Police Department,Gunshot,Armed,Firearm/Rifle,Used weapon,Not fleeing,Deadly force,45019003117
17880,African-American/Black,African-American/Black,,2016-07-04,Washington,DC,20019,District of Columbia,Metro Transit Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,11001007806
17881,Hispanic/Latino,Hispanic/Latino,,2016-07-04,San Jose,CA,95127,Santa Clara,San Jose Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,06085504102
17884,African-American/Black,African-American/Black,,2016-07-04,Brooklyn,NY,11207,Kings,City of New York Police Department,Gunshot,Unarmed,None,Struggled,Not fleeing,Deadly force,36047119800
17877,Hispanic/Latino,Hispanic/Latino,,2016-07-03,Reno,NV,89501,Washoe,Reno Police Department,Gunshot,Armed,Vehicle,Intentional vehicular assault,Fleeing/Vehicle,Deadly force,32031000106
17878,European-American/White,European-American/White,,2016-07-03,New Iberia,LA,70563,Iberia,Iberia Parish Sheriff's Office,Gunshot,Armed,Blunt object/Cordless drill,Advanced toward officer(s),Not fleeing,Deadly force,22045030500
17883,Hispanic/Latino,Hispanic/Latino,,2016-07-03,Fullerton,CA,92833,Orange,California Highway Patrol,Gunshot,Unarmed,None,None/Police alleged vehicular assault,Fleeing/Vehicle,Deadly force,06059001801
17870,African-American/Black,African-American/Black,,2016-07-02,Asheville,NC,28806,Buncombe,Asheville Police Department,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Fleeing/Vehicle,Deadly force,37021001300
17871,European-American/White,European-American/White,,2016-07-02,Bristol,TN,37620,Sullivan,Bristol Police Department,Gunshot,Armed,Firearm/Handgun,Sudden threatening movement,Not fleeing,Deadly force,47163042600
17874,Hispanic/Latino,Hispanic/Latino,,2016-07-02,Anaheim,CA,92804,Orange,Anaheim Police Department,Tasered,Unarmed,None,Struggled,Fleeing/Foot,Less-than-lethal force,06059087001
17875,African-American/Black,African-American/Black,,2016-07-02,Canton,MS,39046,Madison,Canton Police Department,Asphyxiated/Restrained,Unarmed,None,Struggled,Fleeing/Vehicle,Less-than-lethal force,28089030401
17864,European-American/White,European-American/White,,2016-07-01,Jackson,WI,53037,Washington,"Jackson Police Department, Washington County Sheriff's Office",Gunshot,Armed,Edged weapon/Knife,Brandished weapon,Not fleeing,Deadly force,55131450103
17865,European-American/White,European-American/White,,2016-07-01,Cartersville,GA,30120,Bartow,"Cartersville Police Department, Bartow County Sheriff's Office",Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,13015960602
17866,European-American/White,European-American/White,,2016-07-01,Landrum,SC,29356,Spartanburg,Spartanburg County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,45083022500
17858,African-American/Black,African-American/Black,,2016-06-30,Columbus,OH,43207,Franklin,Columbus Division of Police,Gunshot,Armed,Firearm/Gun,Uncertain,Not fleeing,Deadly force,39049008720
17859,European-American/White,European-American/White,,2016-06-30,Madison,WI,53703,Dane,Madison Police Department,Gunshot,Armed,Edged weapon/Pitchfork,Advanced toward officer(s),Not fleeing,Deadly force,55025001901
17860,Hispanic/Latino,Hispanic/Latino,,2016-06-30,Douglas,WY,82633,Converse,U.S. Marshals Service,Gunshot,Armed,Firearm/Handgun,Sudden threatening movement,Not fleeing,Deadly force,56009956400
17861,European-American/White,European-American/White,,2016-06-30,Guffey,CO,80820,Park,Park County Sheriff's Office,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,08093000500
17863,European-American/White,European-American/White,,2016-06-30,Ponca City,OK,,,Ponca City Police Department,Tasered,Unarmed,None,Uncertain,Fleeing/Foot,Less-than-lethal force,40071000400
17853,African-American/Black,African-American/Black,,2016-06-29,Fort Madison,IA,52627,Lee,Fort Madison Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,19111490100
17854,European-American/White,European-American/White,,2016-06-29,Flat Lick,KY,40935,Knox,Knox County Sheriff's Office,Gunshot,Unarmed,None,Struggled,Not fleeing,Deadly force,21121930604
17855,African-American/Black,African-American/Black,,2016-06-29,Monroe,LA,71202,Ouachita,Ouachita Parish Sheriff's Office,Gunshot,Armed,Firearm/Gun,Brandished weapon,Not fleeing,Deadly force,22073011000
17849,Asian/Pacific Islander,Asian/Pacific Islander,,2016-06-28,Long Beach,CA,90804,Los Angeles,Long Beach Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Fleeing/Foot,Deadly force,06037575101
17850,Asian/Pacific Islander,Asian/Pacific Islander,,2016-06-28,Honolulu,HI,96814,Honolulu,Honolulu Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,15003003503
17842,European-American/White,European-American/White,,2016-06-27,Empire,GA,31014,Bleckley,Bleckley County Sheriff's Office,Gunshot,Armed,Firearm/Rifle,Brandished weapon,Not fleeing,Deadly force,13023790302
17843,European-American/White,European-American/White,,2016-06-27,Laguna Pueblo,NM,87026,Cibola,New Mexico State Police,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,35006946100
17845,African-American/Black,African-American/Black,,2016-06-27,Washington,DC,20019,District of Columbia,Washington Metropolitan Police Department,Gunshot,Armed,Firearm/Pellet gun,Brandished weapon,Not fleeing,Deadly force,11001007806
17846,European-American/White,European-American/White,,2016-06-27,Frederica,DE,19946,Kent,Delaware State Police,Gunshot,Armed,Firearm/Replica firearm,Brandished weapon,Fleeing/Vehicle,Deadly force,10001043202
17847,European-American/White,European-American/White,,2016-06-27,Boone,IA,50036,Boone,"Boone Police Department, Boone County Sheriff's Office",Gunshot,Armed,Firearm/Replica firearm,Advanced toward officer(s),Not fleeing,Deadly force,19015020400
17837,Hispanic/Latino,Hispanic/Latino,,2016-06-26,Thomaston,CT,06787,Litchfield,Thomaston Police Department,Gunshot,Armed,Edged weapon/Knife,Advanced toward officer(s),Not fleeing,Deadly force,09005349200
17838,African-American/Black,African-American/Black,,2016-06-26,Dolton,IL,60419,Cook,Dolton Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,17031826304
17839,African-American/Black,African-American/Black,,2016-06-26,Lincoln,NE,68521,Lancaster,Lincoln Police Department,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Fleeing/Foot,Deadly force,31109003003
17840,European-American/White,European-American/White,,2016-06-26,Clarklake,MI,49234,Jackson,Columbia Township Police Department,Gunshot,Armed,Blunt object/Baseball bat,Advanced toward officer(s),Not fleeing,Deadly force,26075006201
17841,Hispanic/Latino,Hispanic/Latino,,2016-06-26,Riverview,FL,33578,Hillsborough,Hillsborough County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Brandished weapon,Not fleeing,Deadly force,12057013705
17833,European-American/White,European-American/White,,2016-06-25,Fresno,CA,93727,Fresno,Fresno Police Department,Gunshot,Unarmed,None,Advanced toward officer(s),Not fleeing,Deadly force,06019005805
17834,Hispanic/Latino,Hispanic/Latino,,2016-06-25,Gainesville,GA,30501,Hall,Georgia State Patrol,Gunshot,Unarmed,None,Struggled,Fleeing/Foot,Deadly force,13139001101
17835,European-American/White,European-American/White,,2016-06-25,Pinellas Park,FL,33782,Pinellas,Pinellas Park Police Department,Gunshot,Armed,Firearm/Gun,Used weapon,Not fleeing,Deadly force,12103024904
17826,European-American/White,European-American/White,,2016-06-24,Katy,TX,77494,Fort Bend,Fulshear Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,48157673109
17828,Hispanic/Latino,Hispanic/Latino,,2016-06-24,Oklahoma City,OK,73106,Oklahoma,Oklahoma City Police Department,Gunshot,Unarmed,None,Struggled,Fleeing/Foot,Deadly force,40109101900
17829,European-American/White,European-American/White,,2016-06-24,Farmington,AR,72730,Washington,Washington County Sheriff's Office,Gunshot,Armed,Firearm/Handgun,Used weapon,Not fleeing,Deadly force,05143011006
17964,European-American/White,European-American/White,,2016-06-24,Katy,TX,77494,Fort Bend,Fulshear Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,48157673109
17965,European-American/White,European-American/White,,2016-06-24,Katy,TX,77494,Fort Bend,Fulshear Police Department,Gunshot,Unarmed,None,None,Not fleeing,Deadly force,48157673109
17820,African-American/Black,African-American/Black,,2016-06-23,Belleville,IL,62226,St. Clair,Belleville Police Department,Gunshot,Armed,Firearm/Handgun,Used weapon,Fleeing/Foot,Deadly force,17163501604
